location,listing_title,price,date_created,agent_name,internal_features,external_features,nearby,link
 Kitengela,3 Bed Townhouse with Garden in Kitengela,5800000.0,2023-05-29,Skybraze homes,"Parking, Garden",nan,nan,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-kitengela-3599009
 Rhapta Road,4 Bed Townhouse in Rhapta Road,35000000.0,2023-05-24,Coral Property International Ltd,nan,nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-rhapta-road-3587510
e;,7 Bed House with En Suite at Nyari Estate;,165000000.0,2023-06-28,Ace Realtors Limited,"Aircon, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet","Balcony, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access,  Garden","Bus Stop, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/7-bedroom-house-for-sale-nyari-3610658
 Ngong Road,4 Bed Townhouse with En Suite at Ngong Road,12500000.0,2023-06-16,Ngong Hills Agency,En Suite,"Balcony, Garden, Parking","Bus Stop, School, Shopping Centre, Scenic View",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-ngong-3608051
 Karen,4 Bed Villa with En Suite in Karen,80000000.0,2023-06-20,Kraft Fiction,"Alarm, Backup Generator, En Suite, Walk In Closet","Balcony, CCTV, Electric Fence, Garden, Parking","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-karen-1-3580400
 Kitengela,3 Bed Townhouse with En Suite in Kitengela,9000000.0,2023-05-24,AXIS ASSETS LTD,"En Suite, Alarm, Service Charge Included, Serviced, Fibre Internet","Balcony, Garden, Electric Fence, Borehole, CCTV, Parking","Scenic View, Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-kitengela-11-3449288
 Karen Bomas Of Kenya,5 Bed House with En Suite at Karen Bomas Of Kenya,150000000.0,2023-07-01,Mapema Properties,"En Suite, Serviced, Walk In Closet, Aircon, Alarm, Backup Generator, Fibre Internet","Balcony, CCTV, Electric Fence, Garden, Parking, Swimming Pool","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-1-3576321
 Mugutha,3 Bed House with En Suite at Mugutha,8600000.0,2023-06-13,MK PROPERTIES,"Alarm, En Suite, Fibre Internet, Serviced, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Wheelchair Access","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ruiru-1-3578910
e Phase 1,3 Bed Townhouse with En Suite at Edenville Estate Phase 1,25000000.0,2023-06-09,Crystal Valuers LTD,En Suite,"Balcony, Garden, Parking, Staff Quarters","Bus Stop, Hospital, Golf Course, School",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-kiambu-road-1-3516701
 Thindigua,4 Bed Townhouse with En Suite at Thindigua,22500000.0,2023-07-07,Elby Properties Ltd,"Backup Generator, En Suite","Staff Quarters, Parking, Garden, CCTV","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-thindigua-1-3596281
 Spring Valley Road,4 Bed House with En Suite at Spring Valley Road,85000000.0,2023-06-26,Nairobi Royal Homes,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet","Balcony, Gym, BBQ, Parking, Staff Quarters, CCTV, Electric Fence, Borehole, Garden","Bus Stop, Golf Course, Hospital, Shopping Centre, School, Scenic View",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-spring-valley-1-3546277
 Runda,4 Bed Townhouse with Swimming Pool in Runda,29700000.0,2023-06-27,Durian Property Consult Ltd,Backup Generator,"Gym, Parking, Swimming Pool, Electric Fence","Bus Stop, Shopping Centre, Hospital, School, Scenic View",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-runda-3610908
 Athi River,5 Bed Townhouse in Athi River,18500000.0,2023-05-24,Pam Golding Properties,nan,nan,nan,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-athi-river-area-3595369
 Karen,4 Bed Villa with En Suite in Karen,67000000.0,2023-07-07,The Address Consult,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Staff Quarters, Parking, Gym, Swimming Pool","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-karen-3613867
 Karen,5 Bed House with Garden at Karen,85000000.0,2023-07-08,Homeken Limited,"Garden, Parking","Shopping Centre, Hospital, Bus Stop, Scenic View, School",nan,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-2-3596835
 Tigoni,3 Bed Villa with En Suite in Tigoni,50000000.0,2023-06-05,Splendor Holdings,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Wheelchair Access, Swimming Pool, Staff Quarters, Parking, Gym","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-villa-for-sale-tigoni-3604783
 Kisauni,3 Bed House in Kisauni,15000000.0,2023-04-19,Furaha Properties,nan,nan,nan,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kisauni-9-3413033
 Kangundo Road,3 Bed House with En Suite at Kangundo Road,5999000.0,2023-05-24,CASTLE VILLAS LIMITED,"Backup Generator, En Suite, Alarm, Fibre Internet, Serviced, Walk In Closet","BBQ, CCTV, Electric Fence, Borehole, Garden, Wheelchair Access, Staff Quarters, Parking","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kamulu-3601583
 Nyahururu Street,4 Bed Townhouse with En Suite at Nyahururu Street,27000000.0,2023-06-05,Civet Africa Ltd,"Alarm, En Suite, Fibre Internet, Serviced, Service Charge Included, Walk In Closet","Balcony, Electric Fence, Borehole, Garden, Parking, Wheelchair Access","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kahawa-sukari-3604720
 Kinanda West,6 Bed House with En Suite at Kinanda West,120000000.0,2023-05-24,Simkar Group Limited,"En Suite, Alarm, Walk In Closet, Backup Generator, Fibre Internet","Balcony, Wheelchair Access, Garden, Electric Fence",Scenic View,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-kitisuru-6-3455362
 Juja,3 Bed House with En Suite in Juja,6250000.0,2023-05-11,Kijani Annex,"Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, Parking, CCTV, Electric Fence, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-juja-3598923
 Lower Kabete,6 Bed Villa with En Suite at Lower Kabete,250000000.0,2023-06-26,Nairobi Royal Homes,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Wheelchair Access, Borehole, Garden, Electric Fence, CCTV, Staff Quarters, Swimming Pool, Parking, BBQ, Balcony, Gym","Shopping Centre, Bus Stop, Hospital, School",https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-lower-kabete-1-3560662
 Bongani Road,6 Bed House with En Suite at Bongani Road,85000000.0,2023-07-01,Mapema Properties,"En Suite, Serviced, Service Charge Included, Walk In Closet","Balcony, Garden, Staff Quarters","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-karen-1-3579411
 Tigoni,4 Bed Villa with En Suite in Tigoni,28000000.0,2023-06-05,Splendor Holdings,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Wheelchair Access, Swimming Pool, Staff Quarters, Parking, Gym","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-tigoni-3604728
 Ngong,4 Bed House with En Suite in Ngong,27000000.0,2023-06-06,Litana Investments,"Serviced, En Suite, Furnished, Walk In Closet","Balcony, Electric Fence, Garden, Parking","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/furnished-4-bedroom-house-for-sale-ngong-3605271
 Nairobi,4 Bed House with En Suite at Nairobi,165000000.0,2023-04-26,Fit Property,En Suite,"Parking, Staff Quarters, Garden",nan,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-lavington-3541466
gton,5 Bed Townhouse in Lavington,50000000.0,2023-07-03,Premier Gold -Real Estate,nan,nan,nan,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3471180
 Nyali Area,4 Bed Townhouse with En Suite in Nyali Area,33000000.0,2023-04-19,Furaha Properties,"Walk In Closet, En Suite, Fibre Internet","Electric Fence, CCTV, Parking, Garden, Balcony","Sea View, Bus Stop, Hospital, School",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-nyali-area-3474352
 Loresho,5 Bed Townhouse with En Suite in Loresho,150000000.0,2023-06-02,Realty Plus,"Alarm, Backup Generator, En Suite","Balcony,  CCTV, Electric Fence, Borehole, Garden, Swimming Pool, Staff Quarters, Parking, Gym","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-loresho-3604144
 Kenpipe Gardens,4 Bed House with En Suite at Kenpipe Gardens,10750000.0,2023-04-20,Crystal Valuers LTD,"En Suite, Alarm, Backup Generator, Fibre Internet","Balcony, Garden, Borehole, CCTV, Staff Quarters, Electric Fence, BBQ, Parking",School,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitengela-2-3423513
 Ngere Road,5 Bed House with En Suite at Ngere Road,17000000.0,2023-07-04,Crestace Real Estate Ltd,"En Suite, Fibre Internet, Walk In Closet","Balcony, Garden, Parking","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-ngong-3603091
 View,4 Bed Townhouse with En Suite in Mountain View,39000000.0,2023-06-05,Round Key Africa,"En Suite, Service Charge Included, Fibre Internet","Garden, Parking","Golf Course, Hospital, School, Shopping Centre, Bus Stop",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-mountain-view-3604893
 Muthaiga,4 Bed Townhouse with En Suite in Muthaiga,38000000.0,2023-06-14,Mimshakh Dunamis Global Ltd,En Suite,"Garden, Parking, Staff Quarters","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-muthaiga-3607289
gton,4 Bed Townhouse with En Suite in Lavington,67000000.0,2023-07-01,Leti Realty Limited,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Wheelchair Access","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-1-3587874
 Kiambu Town Opposite Governor'S Office,4 Bed House with Garden at Kiambu Town Opposite Governor'S Office,35000000.0,2023-07-05,Abode Realty,"Alarm, Fibre Internet","Balcony, BBQ, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-town-3603366
e,3 Bed House with Garden at Muigai Estate,6300000.0,2023-05-29,Skybraze homes,"Parking,  , Garden",nan,nan,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3599796
e,4 Bed House with En Suite at Fourways Junction Estate,31000000.0,2023-03-20,Royani Properties Limited,"En Suite, Fibre Internet","Balcony, Wheelchair Access, Garden, Electric Fence, Borehole, Parking, Swimming Pool, Staff Quarters, CCTV","Scenic View, Bus Stop, Golf Course, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3416648
 Kiambu Road,4 Bed Townhouse with En Suite in Kiambu Road,32000000.0,2023-04-03,Jakharris Africa Ltd,En Suite,"Balcony, Borehole, Garden, Parking, Swimming Pool","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kiambu-road-3591001
a,5 Bed Townhouse with En Suite in Langata,27000000.0,2023-02-27,Pam Golding Properties,En Suite,"Parking, Balcony","School, Bus Stop",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-langata-3583993
gton,4 Bed Townhouse with En Suite in Lavington,40000000.0,2023-05-24,Urban Hut Limited,"En Suite, Fibre Internet","Balcony, Parking, Staff Quarters, Swimming Pool, Garden","Bus Stop, Shopping Centre, Hospital, School",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3602235
e,4 Bed House with En Suite at Hillview Estate,110000000.0,2023-05-24,Simkar Group Limited,"Alarm, Backup Generator, En Suite, Walk In Closet","Balcony, Garden, BBQ,  , CCTV, Parking, Electric Fence, Staff Quarters, Swimming Pool","Bus Stop, Hospital,  Scenic View, School",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-hill-view-5-3487531
gton,4 Bed Townhouse with En Suite in Lavington,65000000.0,2023-06-12,Marini Homes,"Backup Generator, En Suite, Fibre Internet, Walk In Closet, Alarm","Balcony, Parking, CCTV, Staff Quarters, Electric Fence, Wheelchair Access, Garden","Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-1-3589808
 Muthaiga,4 Bed House with En Suite in Muthaiga,140000000.0,2023-05-28,Darpan Ventures,"Backup Generator, En Suite, Walk In Closet","Parking, Staff Quarters, Electric Fence, Garden","Golf Course, Hospital, Scenic View, School, Shopping Centre, Bus Stop",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-muthaiga-3603020
 Nyali Area,4 Bed Townhouse in Nyali Area,150000000.0,2023-04-19,Furaha Properties,nan,nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-nyali-area-8-3423095
 Karen Ololua,5 Bed House with En Suite at Karen Ololua,95000000.0,2023-07-01,Mapema Properties,"Backup Generator, Alarm, En Suite, Fibre Internet, Serviced, Walk In Closet","Balcony, CCTV, Electric Fence, Borehole, Garden, Parking","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-1-3578914
 Kitengela,3 Bed House with En Suite in Kitengela,6400000.0,2023-05-24,Litana Investments,"En Suite, Walk In Closet","Balcony, Garden, Parking","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3561839
 Ngong,4 Bed Townhouse with En Suite in Ngong,24500000.0,2023-07-04,Crestace Real Estate Ltd,En Suite,"Parking, CCTV, Garden",nan,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-ngong-3542377
 Ruaka,4 Bed Townhouse with En Suite in Ruaka,16200000.0,2023-05-24,AXIS ASSETS LTD,"En Suite, Fibre Internet","Balcony, CCTV, Parking","Bus Stop, Hospital, Golf Course, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-ruaka-3557181
 Kiambu Road,4 Bed House with En Suite in Kiambu Road,32000000.0,2023-07-07,Edlon Group Limited,En Suite,"Parking, Balcony, Garden, Electric Fence, Swimming Pool",Golf Course,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3-3513764
 Runda,6 Bed House with En Suite in Runda,155000000.0,2023-07-01,Leti Realty Limited,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access","Bus Stop,  , Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-runda-1-3601742
 Kitengela,4 Bed House with Walk In Closet in Kitengela,18000000.0,2023-05-18,Datka Estate Agency,Walk In Closet,"Hospital, School,  Shopping Centre",nan,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitengela-3582897
 Lavington,4 Bed Townhouse with En Suite at Lavington,50000000.0,2023-07-03,Prudential Green Ville,"En Suite, Service Charge Included, Walk In Closet","Electric Fence, CCTV, Parking, Staff Quarters, Swimming Pool, Garden","School, Scenic View, Hospital, Golf Course, Bus Stop, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-1-3565330
 Runda,5 Bed House with En Suite in Runda,150000000.0,2023-03-13,Tysons Limited,"En Suite, Walk In Closet, Fibre Internet","Garden, Staff Quarters, Parking","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3586771
ta Road,3 Bed House with En Suite in Kenyatta Road,5800000.0,2023-07-08,Mizizi Realtors,"Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Staff Quarters, Parking","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kenyatta-road-3614130
 Juja,3 Bed House with En Suite in Juja,6250000.0,2023-05-10,Family Homes,"Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, Parking, CCTV, Electric Fence, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-juja-3598686
 Ngong,4 Bed Villa with En Suite in Ngong,14500000.0,2023-05-24,Litana Investments,"Backup Generator, En Suite, Walk In Closet","Balcony,  , Borehole, Garden, Parking, Staff Quarters, Swimming Pool","Bus Stop, Hospital,  School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-ngong-3553672
 Near Serena Hotel,4 Bed House with En Suite at Near Serena Hotel,17500000.0,2023-04-19,Furaha Properties,En Suite,nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-shanzu-8-3401093
 Flem Tree,5 Bed House with En Suite at Flem Tree,180000000.0,2023-06-26,Nairobi Royal Homes,"Service Charge Included, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Aircon","Gym, Balcony, BBQ, Parking, Staff Quarters, CCTV, Electric Fence, Borehole, Wheelchair Access, Garden","Shopping Centre, Bus Stop, Hospital, School",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-1-3582206
 Nyali Area,4 Bed Villa with En Suite in Nyali Area,55000000.0,2023-06-17,Arneel Homes,"Aircon, Backup Generator, Fibre Internet, Walk In Closet, En Suite, Alarm","Balcony, CCTV, Borehole, Gym, Staff Quarters, Wheelchair Access, Swimming Pool, Parking, Garden, Electric Fence, BBQ","Sea View, Scenic View, Golf Course, Bus Stop, Hospital, School",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-nyali-area-1-3501156
 Brookside,4 Bed House with En Suite in Brookside,57000000.0,2023-05-24,Coral Property International Ltd,En Suite,"Parking, Borehole","Bus Stop, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-brookside-3558049
gton,6 Bed Townhouse with En Suite in Lavington,65000000.0,2023-06-05,Sky Limits Ventures,"En Suite, Walk In Closet","Balcony, Parking, Staff Quarters, CCTV, Electric Fence, Garden, Borehole",nan,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-lavington-3601904
 Loresho,5 Bed Villa with En Suite in Loresho,120000000.0,2023-05-16,HOMES.COM,"En Suite, Fibre Internet, Walk In Closet, Aircon, Alarm, Backup Generator","Balcony, Gym, Wheelchair Access, Garden, Borehole, Electric Fence, BBQ, CCTV, Swimming Pool, Staff Quarters, Parking","Hospital, Scenic View, School, Shopping Centre, Bus Stop, Golf Course",https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-loresho-3575259
 Ngong,5 Bed House with En Suite in Ngong,40000000.0,2023-06-27,Leilach Properties,"En Suite, Fibre Internet, Walk In Closet","Balcony, Garden, Wheelchair Access, Staff Quarters, Parking","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-ngong-1-3567125
 Pangani,3 Bed House with En Suite in Pangani,9000000.0,2023-05-13,Sphere Real Estate,"Backup Generator, En Suite, Walk In Closet","Parking, Gym, Borehole, CCTV","Bus Stop, Hospital, School",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-pangani-3556190
 Nyali Area,4 Bed House with En Suite in Nyali Area,20500000.0,2023-06-17,Arneel Homes,"Aircon, En Suite, Furnished","Balcony, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access",Bus Stop,https://www.buyrentkenya.com/listings/furnished-4-bedroom-house-for-sale-nyali-area-1-3474802
a Rongai,4 Bed House with En Suite in Ongata Rongai,32000000.0,2023-06-27,Leilach Properties,"En Suite, Fibre Internet, Walk In Closet","Balcony, Staff Quarters, Garden, Wheelchair Access, Parking","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-ongata-rongai-1-3560328
 Loresho Ridge,4 Bed House with En Suite at Loresho Ridge,45000000.0,2023-06-25,Lavington Property Management,"Alarm, En Suite, Fibre Internet, Walk In Closet","Balcony, CCTV, Electric Fence, Borehole, Garden, Parking, Swimming Pool, Staff Quarters","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-loresho-1-3559954
 Runda,6 Bed Villa with En Suite in Runda,100000000.0,2023-05-17,Great Five Consultants,"En Suite, Backup Generator, Walk In Closet","Garden, Swimming Pool, Staff Quarters, Balcony","Shopping Centre, School, Hospital",https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-runda-3590226
 Nyali Area,4 Bed House with En Suite in Nyali Area,90000000.0,2023-06-17,Arneel Homes,"Aircon, Fibre Internet, En Suite","BBQ, Electric Fence, Garden, Parking, Staff Quarters, Borehole, Balcony","Hospital, School, Bus Stop, Golf Course, Scenic View, Sea View",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-nyali-area-1-3520188
 Runda,5 Bed House with En Suite in Runda,90000000.0,2023-06-28,Exceptional Homes,"Alarm, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters","Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3611377
 Shanzu Road,4 Bed Townhouse with En Suite at Shanzu Road,85000000.0,2023-07-07,Rockfield Management Ltd,"Aircon, Alarm, Backup Generator, Walk In Closet, En Suite, Fibre Internet","Balcony, Parking, CCTV, Staff Quarters, Electric Fence, Wheelchair Access, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kyuna-1-3534827
 Runda,6 Bed House with En Suite in Runda,150000000.0,2023-07-07,LIflac Properties,"Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, Electric Fence, Garden, Parking, Staff Quarters","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-runda-3605268
 Syokimau,4 Bed House with En Suite in Syokimau,18000000.0,2023-06-20,Kraft Fiction,En Suite,"Balcony, CCTV, Electric Fence","Bus Stop, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-syokimau-1-3564449
 Mombasa Road,3 Bed House with En Suite at Mombasa Road,16850000.0,2023-06-20,Finest  Home Real Estate,"En Suite, Fibre Internet, Serviced","Balcony, Borehole, Garden, Swimming Pool, Staff Quarters, Parking, Gym","Bus Stop,  Shopping Centre, Hospital, School",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-athi-river-area-3608484
 Kiambu Road,5 Bed Townhouse with En Suite in Kiambu Road,67000000.0,2023-07-03,Ge-Mac Property Solutions,"Alarm, Walk In Closet, Backup Generator, En Suite, Fibre Internet","Balcony, Gym, Parking, CCTV, Staff Quarters, Swimming Pool, Electric Fence, Borehole, Wheelchair Access, Garden, BBQ","Bus Stop, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kiambu-road-3612623
 Juja,3 Bed Townhouse with En Suite in Juja,9500000.0,2023-05-24,Pam Golding Properties,En Suite,nan,nan,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-juja-3590677
 Nyali Area,3 Bed Townhouse with En Suite in Nyali Area,20000000.0,2023-04-19,Furaha Properties,"Backup Generator, En Suite, Fibre Internet, Service Charge Included","Balcony, BBQ, Parking, CCTV, Swimming Pool, Electric Fence, Borehole, Garden","Shopping Centre, Bus Stop, Hospital, School",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-nyali-area-3543534
 Karen,4 Bed House with En Suite at Karen,90000000.0,2023-07-01,Mapema Properties,"Backup Generator, Alarm, En Suite, Serviced, Fibre Internet, Walk In Closet","Balcony, Garden, Gym, Parking","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-1-3583428
 Nyali,4 Bed House with En Suite at Nyali,38000000.0,2023-07-04,Abdul Kalume Realtors,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Serviced, Service Charge Included, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Swimming Pool, Wheelchair Access","Bus Stop, Golf Course,  , Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-nyali-area-1-3561160
ta Road,6 Bed House with En Suite at Kenyatta Road,150000000.0,2023-06-17,Arneel Homes,"Aircon, Alarm, Backup Generator,  En Suite, Furnished, Fibre Internet, Walk In Closet","Balcony, BBQ, Electric Fence, Garden, Parking, Swimming Pool, Staff Quarters, Borehole, Wheelchair Access, CCTV","Bus Stop, Hospital, School, Scenic View, Golf Course, Sea View",https://www.buyrentkenya.com/listings/furnished-6-bedroom-house-for-sale-nyali-area-1-3474885
e House Road,4 Bed Townhouse at Dennis Pritt/State House Road,75000000.0,2023-05-09,Regent Management Ltd,nan,nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-state-house-3424791
 Ruiru,6 Bed House with En Suite in Ruiru,35000000.0,2023-07-03,Afrique Properties Limited,"Alarm, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, Staff Quarters, Parking, Gym, Garden","Bus Stop, Golf Course, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-ruiru-1-3513730
undu Lane,3 Bed Townhouse with Garden at Matundu Lane,45000000.0,2023-06-08,Kenya Valuers & Estate Agents,Service Charge Included,"BBQ, Garden, Parking","Bus Stop, Hospital, School,  Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-westlands-area-3570480
 Kiambu Town,3 Bed House with En Suite in Kiambu Town,27000000.0,2023-05-24,Litana Investments,"Alarm, Backup Generator, En Suite, Service Charge Included, Walk In Closet","Balcony, Borehole, Electric Fence, Garden, Parking, Staff Quarters","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kiambu-town-3553907
